predio,comuna,latitud,longitud,score,nivel
MANUEL RODRIGUEZ P-33,COLLIPULLI,-38.048025,-72.129813,100.0,CRÍTICO
CHILE NUEVO P-4,COLLIPULLI,-37.985608,-72.161598,100.0,CRÍTICO
LA SUERTE PARCELA 4,COLLIPULLI,-37.995996,-72.111606,100.0,CRÍTICO
COLONIA NIZA PARC. 2,COLLIPULLI,-37.94075,-72.343614,100.0,CRÍTICO
"SUERTE,LA P-1",COLLIPULLI,-37.959617,-72.13989,100.0,CRÍTICO
TOTORAS SECTOR 1,ANGOL,-37.859967,-72.543235,100.0,CRÍTICO
TOTORAS SECTOR 2,ANGOL,-37.882656,-72.547226,100.0,CRÍTICO
TOTORAS SECTOR 3,COLLIPULLI,-37.892083,-72.507658,100.0,CRÍTICO
NIZA,COLLIPULLI,-37.886667,-72.399264,100.0,CRÍTICO
SAN ROBERTO,COLLIPULLI,-37.911994,-72.379055,100.0,CRÍTICO
SAN ANTONIO,COLLIPULLI,-37.935906,-72.40833,100.0,CRÍTICO
SAN CARLOS,COLLIPULLI,-37.965284,-72.390965,100.0,CRÍTICO
LA PENA,COLLIPULLI,-38.015278,-72.202816,100.0,CRÍTICO
EL RAULI Y OTROS,COLLIPULLI,-38.097391,-72.140207,100.0,CRÍTICO
LA ISLA,COLLIPULLI,-38.116356,-72.063216,100.0,CRÍTICO
ANCHIMALLEN,COLLIPULLI,-38.08554,-72.111125,100.0,CRÍTICO
RUCANANCO,COLLIPULLI,-37.945809,-72.268484,100.0,CRÍTICO
MAPULHUE A,COLLIPULLI,-38.016337,-72.096816,100.0,CRÍTICO
MAPULHUE B,COLLIPULLI,-38.047084,-72.078449,100.0,CRÍTICO
EL PROGRESO,COLLIPULLI,-37.969099,-72.205603,100.0,CRÍTICO
PARCELAS LIBERTAD CAMPESINA,COLLIPULLI,-38.064616,-72.233673,100.0,CRÍTICO
PARCELA 26 TRANQUENANCO,COLLIPULLI,-37.966287,-72.22319,100.0,CRÍTICO
VIVA CHILE (EX-M.RODRIG),COLLIPULLI,-38.095379,-72.174294,100.0,CRÍTICO
CHILE NUEVO,COLLIPULLI,-37.947978,-72.175954,100.0,CRÍTICO
PARCELA FUTURO DE CHILE,COLLIPULLI,-38.147335,-72.063572,100.0,CRÍTICO
PARCELA 25 UNION CHILENA LOTE-A,COLLIPULLI,-38.055731,-72.205715,100.0,CRÍTICO
PARCELA 13 JOSE MIGUEL C,COLLIPULLI,-37.993228,-72.363765,100.0,CRÍTICO
PARCELA 7 EL SOL,COLLIPULLI,-38.001302,-72.364509,100.0,CRÍTICO
PARCELA 19 FUTURO DE CHILE,COLLIPULLI,-38.115085,-72.090776,100.0,CRÍTICO
PARCELA 29 CHILE NUEVO,COLLIPULLI,-37.955935,-72.147835,100.0,CRÍTICO
EL ROSAL Y SAN CARLOS,COLLIPULLI,-37.968297,-72.369551,100.0,CRÍTICO
UNION CHILENA,COLLIPULLI,-38.058869,-72.16603,100.0,CRÍTICO
SANTA MARTA DE LUJAN,COLLIPULLI,-38.109194,-72.036989,100.0,CRÍTICO
SANTA EMA,COLLIPULLI,-37.936363,-72.195825,100.0,CRÍTICO
CABRAMALLIN,COLLIPULLI,-37.954132,-72.352378,100.0,CRÍTICO
LA ESPERANZA,COLLIPULLI,-37.853683,-72.387336,100.0,CRÍTICO
JAUJA,COLLIPULLI,-38.059569,-71.947026,100.0,CRÍTICO
SANTA LUISA,COLLIPULLI,-38.086808,-71.999393,100.0,CRÍTICO
LAS PIEDRAS,COLLIPULLI,-38.081277,-71.976373,100.0,CRÍTICO
SANTA JULIA,COLLIPULLI,-38.109393,-71.939251,100.0,CRÍTICO
PARCELA 29 TRANQUE NANCO,COLLIPULLI,-37.949622,-72.222179,100.0,CRÍTICO
PARCELA 5 Y 6 LA CONQUISTA,COLLIPULLI,-38.120801,-72.09985,100.0,CRÍTICO
PARCELAS SAN JORGE,COLLIPULLI,-37.903068,-72.333312,100.0,CRÍTICO
PARCELA GUAYACAN,COLLIPULLI,-38.068832,-72.168758,100.0,CRÍTICO
PARCELAS LIBERTAD CAMPESINA,COLLIPULLI,-38.058293,-72.253076,100.0,CRÍTICO
PARCELA 15 LIBERTAD CAMPESINA,COLLIPULLI,-38.060001,-72.247288,100.0,CRÍTICO
PARCELA 5 EL PROGRESO,COLLIPULLI,-37.983551,-72.215184,100.0,CRÍTICO
CIEN CUADRAS,COLLIPULLI,-38.008671,-72.231567,100.0,CRÍTICO
PARCELAS EL SOL,COLLIPULLI,-37.995271,-72.380479,100.0,CRÍTICO
P.M.RODRIGUEZ 27-28-29-30,COLLIPULLI,-38.057372,-72.12749,100.0,CRÍTICO
PARCELA 18 Y 19 SAN ANDRES,COLLIPULLI,-38.032043,-72.06594,100.0,CRÍTICO
PARCELAS JOSE MIGUEL CAR,COLLIPULLI,-38.006527,-72.358583,100.0,CRÍTICO
PARCELAS TRANQUENANCO,COLLIPULLI,-37.962135,-72.233334,100.0,CRÍTICO
SANTO DOMINGO NORTE,COLLIPULLI,-37.950456,-72.180256,100.0,CRÍTICO
PAR. RES. FORESTAL MALLECO,COLLIPULLI,-38.086527,-71.831721,88.0,CRÍTICO
SAN CARLOS CHICO,COLLIPULLI,-37.951753,-72.395222,100.0,CRÍTICO
