id,nombre_predio,comuna,latitud,longitud,nivel_importancia,hectareas
1885,LOS LAURELES Y OTROS.,YUNGAY,-37.089214,-71.819429,BAJO,159.08
1886,HUINANCO LOTE B,YUMBEL,-37.101728,-72.692709,MEDIO,131.0
1887,CURAPASO,YUNGAY,-37.081812,-72.052304,BAJO,84.22
1888,PARC.#9 CASAS DE RIO CLARO,CABRERO,-36.990129,-72.48207,BAJO,38.66
1889,LOS LAURELES CHAMIZAL HIJUELA 3,YUNGAY,-37.091265,-71.845901,BAJO,39.94
1890,LOS LAURELES CHAMIZAL HIJUELA 2,YUNGAY,-37.097382,-71.838615,BAJO,44.14
1891,LAS PENAS,HUALQUI,-37.172566,-72.878899,MEDIO,25.49
1892,CHACAICO,HUALQUI,-37.170736,-72.882071,MEDIO,7.15
1893,PARCELA 128 QUILAPALOS LOTES B1Y B4,QUILACO,-37.825063,-71.923485,BAJO,84.0
1894,SANTA ELENA SUR LOTE B,YUNGAY,-37.126481,-71.860786,BAJO,17.97
1895,HIJUELA LA SUERTE LOTE A,SANTA BARBARA,-37.71645,-71.772826,BAJO,83.72
1896,DON GONZALO,PEMUCO,-36.928456,-72.333385,MEDIO,489.04
1897,LIRQUEN ORIENTE Y PONIENTE,QUILACO,-37.731725,-71.904541,BAJO,514.02
1898,HIJUELA 5 BELLA ESPERANZA,TUCAPEL,-37.242854,-71.828001,BAJO,31.32
1899,BELLA ESPERANZA,TUCAPEL,-37.241307,-71.826078,BAJO,25.55
1900,LO EDELMIRA,SANTA BARBARA,-37.656094,-71.819588,BAJO,45.57
1901,PARC. TIERRAS LIBRES Y TIERRA LIBERTAD,MULCHEN,-37.59362,-72.433057,BAJO,119.48
1902,PARCELA 68 TIERRA Y LIBERTAD,MULCHEN,-37.594985,-72.425142,BAJO,59.93
1903,LA MONA LOTE A,QUILLECO,-37.475138,-71.952973,BAJO,46.29
1904,EL RECREO Y SAN ANTONIO,YUNGAY,-37.096419,-71.821754,BAJO,37.58
1905,EL RECREO LOTE D,YUNGAY,-37.100599,-71.829038,BAJO,17.6
1906,EL NANDU,COYHAIQUE,-45.913414,-71.909575,BAJO,190.3
1907,EL TERO,COYHAIQUE,-45.932324,-71.864503,BAJO,103.01
